old_url,new_url,action,title,pubDate,bodyWords,transcriptWords,tags,youtubeId,draft,note,game
/blog/vlogs/vlogging-hobby-struggles-to-hopefully-motivate-everyone-else/,/vlog/vlogging-hobby-struggles-to-hopefully-motivate-everyone-else/,vlog,Vlogging Hobby Struggles to Hopefully Motivate Everyone Else,2025-10-22,339,591,"orcs-and-goblins,hobby-motivation,warmachine,tutorial",ZEG9lty59x0,,keep live + indexed under /vlog/; 301 from old URL; add intro/related-guides block,warmachine
/blog/vlogs/vlogging-my-failures-again/,/vlog/vlogging-my-failures-again/,vlog,"Goblins Off Bases, Bad Casts, and Homemade Music",2025-10-12,300,761,"hobby-motivation,orcs-and-goblins,basing,resin-casting",AkrjPDWltRM,,keep live + indexed under /vlog/; 301 from old URL; add intro/related-guides block,
/blog/vlogs/warmachine-event-photos/,/vlog/warmachine-event-photos/,vlog,Warmachine Event Photos,2025-10-27,215,272,"warmachine,event-recap,battle-report",FVYIh7SuIFo,,keep live + indexed under /vlog/; 301 from old URL; add intro/related-guides block,warmachine
/blog/vlogs/warmachine-winter-wonderland-event-photos/,/vlog/warmachine-winter-wonderland-event-photos/,vlog,Warmachine Winter Wonderland Event Photos,2025-12-07,358,430,"warmachine,event-recap",jbrCvayeZjY,,keep live + indexed under /vlog/; 301 from old URL; add intro/related-guides block,warmachine
/blog/vlogs/why-are-3d-sculpted-models-so-overly-detailed/,/vlog/why-are-3d-sculpted-models-so-overly-detailed/,vlog,Why are 3d sculpted models so overly detailed?,2026-04-16,15,409,"painting,warmachine,cloth,metallics,building,terrain,3d-printing",Xd0J5dG7Ijw,,keep live + indexed under /vlog/; 301 from old URL; add intro/related-guides block,warmachine
/blog/vlogs/will-i-see-another-summer-again/,/vlog/will-i-see-another-summer-again/,vlog,Will I See Another Summer Again,2025-12-21,82,71,"3d-printing,basing",7KMb9KcEs9Y,,keep live + indexed under /vlog/; 301 from old URL; add intro/related-guides block,
/blog/vlogs/working-on-ultimate-dungeon-terrain-and-a-whole-day-of-hobbying/,/vlog/working-on-ultimate-dungeon-terrain-and-a-whole-day-of-hobbying/,vlog,Working on Ultimate Dungeon Terrain & A Whole Day of Hobbying,2025-12-16,926,2938,"terrain,3d-printing,sculpting,crucible-guard",8Eg2Z73nSjk,,keep live + indexed under /vlog/; 301 from old URL; add intro/related-guides block,
/blog/vlogs/wtf-is-a-rectifier/,/vlog/wtf-is-a-rectifier/,vlog,Wtf is a rectifier.,2026-04-24,11,430,,chtJTkkg1Ts,,keep live + indexed under /vlog/; 301 from old URL; add intro/related-guides block,
/blog/articles/oldhammer-year-2027/,/articles/oldhammer-year-2027/,keep-article,2027 Is My Oldhammer Year,2026-08-23,765,0,"warhammer,competition,hobby-motivation,painting,collection",,true,blog → articles,warhammer-aos-40k
/blog/articles/online-painting-competitions-2026/,/articles/online-painting-competitions-2026/,keep-article,Online Miniature Painting & Modeling Competitions for 2026,2026-03-12,1508,0,"painting,competition",,,blog → articles,
/blog/articles/rss-feeds/,/articles/rss-feeds/,keep-article,RSS Feeds,2026-03-20,424,0,resources,,,blog → articles,
/blog/resources/mageknight-army-checklist/,/games/mage-knight/army-checklist/,keep-resource,H0urg1ass's Army Checklist,2025-12-02,381,0,"mage-knight,resources",,,Mage Knight archive → nested under game hub,mage-knight
/blog/resources/mageknight-army-themes/,/games/mage-knight/army-themes/,keep-resource,H0urg1ass's Army Theme Guide,2025-12-02,2024,0,"mage-knight,resources",,,Mage Knight archive → nested under game hub,mage-knight
/blog/resources/mageknight-attacking-by-numbers/,/games/mage-knight/attacking-by-numbers/,keep-resource,Attacking by the Numbers,2025-12-02,1272,0,"mage-knight,resources",,,Mage Knight archive → nested under game hub,mage-knight
/blog/resources/mageknight-killing-uniques/,/games/mage-knight/killing-uniques/,keep-resource,Guide to Maiming/Killing Uniques,2025-12-02,1376,0,"mage-knight,resources",,,Mage Knight archive → nested under game hub,mage-knight
/blog/resources/mageknight-meta-checklist/,/games/mage-knight/meta-checklist/,keep-resource,Mage Knight 1.0 Meta Figure Checklist,2025-11-30,485,0,"mage-knight,resources",,,Mage Knight archive → nested under game hub,mage-knight
/blog/resources/mageknight-meta/,/games/mage-knight/meta/,keep-resource,Mage Knight 1.0 Final Meta,2025-11-20,3556,0,"mage-knight,resources",,,Mage Knight archive → nested under game hub,mage-knight
/blog/resources/mageknight-metals-checklist/,/games/mage-knight/metals-checklist/,keep-resource,Mage Knight Metals Checklist,2025-12-14,1054,0,"mage-knight,resources",,,Mage Knight archive → nested under game hub,mage-knight
/blog/resources/mageknight-movement-positioning/,/games/mage-knight/movement-positioning/,keep-resource,Bakerkenn's Guide to Movement and Positioning,2025-12-02,1032,0,"mage-knight,resources",,,Mage Knight archive → nested under game hub,mage-knight
/blog/resources/mageknight-resources/,/games/mage-knight/resources/,keep-resource,Mage Knight 1.0 Resources,2025-12-06,315,0,"mage-knight,resources",,,Mage Knight archive → nested under game hub,mage-knight
/blog/resources/mageknight-shades-melee-swarm/,/games/mage-knight/shades-melee-swarm/,keep-resource,Shades & Melee Swarm,2025-12-02,1572,0,"mage-knight,resources",,,Mage Knight archive → nested under game hub,mage-knight
/blog/resources/mageknight-shakti-strategy-tactics/,/games/mage-knight/shakti-strategy-tactics/,keep-resource,Shakti's Strategy & Tactics Guide,2025-12-02,2978,0,"mage-knight,resources",,,Mage Knight archive → nested under game hub,mage-knight
/blog/resources/mageknight-stormfox-newbie-guide/,/games/mage-knight/stormfox-newbie-guide/,keep-resource,Stormfox's Newbie Guide to Mage Knight,2025-12-02,1928,0,"mage-knight,resources",,,Mage Knight archive → nested under game hub,mage-knight
/blog/resources/mageknight-threat-counterthreat/,/games/mage-knight/threat-counterthreat/,keep-resource,Threat and Counter-Threat,2025-12-02,1055,0,"mage-knight,resources",,,Mage Knight archive → nested under game hub,mage-knight
/blog/vlogs/2-color-nmm-easy-peasy-style/,/guides/2-color-nmm-easy-peasy-style/,promote-guide,2 Color NMM Easy Peasy Style,2025-09-11,862,2504,"nmm,metallics,tutorial,scale-75,glazing",LEubtM-faJ4,,rewrite as evergreen guide; attach to game/technique,
